address,port,country,city,speed,type,anonymity
81.163.57.147,41258,Russian Federation  Makhachkala,,3980 ms,HTTP,High
94.230.158.37,39509,Czech Republic  Prague,,2660 ms,HTTP,High
178.151.143.112,31260,Ukraine  Kharkiv,,4460 ms,HTTP,High
79.120.177.106,8080,Hungary  Budapest,,5100 ms,HTTP,No
85.198.250.240,8080,Poland,,3940 ms,HTTP,No
144.91.116.171,80,Germany  Nuremberg,,2520 ms,HTTP,Medium
94.140.242.221,8080,Russian Federation  Petrozavodsk,,3220 ms,HTTP,No
82.200.233.4,3128,Kazakstan,,940 ms,HTTP,High
51.79.52.62,3128,Canada,,3040 ms,HTTP,No
31.14.131.70,8080,Italy  Arezzo,,1820 ms,"HTTP, HTTPS",No
191.96.42.80,3128,United States  Chicago,,640 ms,HTTP,High
83.13.164.202,49185,Poland  Warsaw,,4200 ms,HTTP,High
80.187.140.26,80,Germany,,240 ms,HTTP,High
178.62.193.19,8080,United Kingdom  London,,740 ms,HTTP,High
122.201.112.114,80,Australia  Sydney,,1900 ms,HTTP,Medium
134.209.44.228,80,United States  Clifton,,2160 ms,HTTP,Medium
101.50.1.2,80,Indonesia  Surabaya,,980 ms,HTTP,No
138.68.161.14,8080,United Kingdom  London,,4860 ms,HTTP,High
138.68.161.14,3128,United States  New York,,4220 ms,HTTP,High
138.68.173.29,3128,United States  New York,,3220 ms,HTTP,High
102.68.130.162,8080,Libyan Arab Jamahiriya  Tripoli,,4780 ms,HTTP,No
138.68.41.90,3128,United States  Santa Clara,,800 ms,HTTP,High
193.160.214.29,3169,Turkey  Istanbul,,520 ms,HTTPS,High
201.249.190.235,3128,Venezuela  Porlamar,,1960 ms,HTTP,No
172.104.191.106,8080,Singapore  Singapore,,1860 ms,HTTP,No
139.59.99.63,8080,Singapore  Singapore,,1520 ms,HTTP,High
139.59.109.156,3128,Singapore  Singapore,,1460 ms,HTTP,High
178.128.50.210,80,Singapore  Singapore,,860 ms,HTTP,Medium
139.99.105.186,80,Singapore,,1100 ms,HTTP,Medium
187.45.106.176,8080,Brazil  Erval d'Oeste,,5100 ms,HTTP,High
181.49.131.82,8080,Colombia  Bogotá,,5100 ms,HTTP,No
146.196.108.202,80,Indonesia,,1980 ms,HTTP,No
188.6.164.138,55042,Hungary  Budapest,,5100 ms,HTTP,High
212.56.218.90,55983,Moldova  Cimislia,,4380 ms,HTTP,High
200.73.128.5,8080,Argentina,,5100 ms,HTTPS,High
200.73.128.5,80,Argentina,,5100 ms,HTTPS,High
1.0.0.178,80,,,340 ms,HTTP,No
1.0.0.104,80,Australia  Wynn Vale,,340 ms,HTTP,No
1.0.0.119,80,Australia  Parafield Gardens,,340 ms,HTTP,No
154.16.202.22,3128,Germany  Frankfurt am Main,,180 ms,HTTP,High
159.224.83.100,8080,Ukraine  Kharkiv,,2640 ms,HTTP,No
203.142.68.141,3128,Indonesia  Jakarta,,4520 ms,HTTP,High
190.147.93.2,32014,Colombia  Bogotá,,4260 ms,HTTP,High
103.243.82.198,37358,Bangladesh,,2960 ms,HTTP,High
193.117.138.126,40910,United Kingdom,,5100 ms,HTTP,High
86.62.120.68,3128,Russian Federation  Moscow,,4800 ms,HTTP,No
37.26.136.181,40076,Moldova  Tiraspol,,4740 ms,HTTP,High
194.152.235.171,8080,Croatia  Zagreb,,4260 ms,HTTP,No
81.161.61.110,30432,Slovakia  Banská Bystrica,,3660 ms,HTTP,High
1.0.0.39,80,Australia  Stirling,,320 ms,HTTP,No
146.120.95.13,8000,Ukraine  Donetsk,,3740 ms,HTTP,No
151.22.181.222,8080,Italy  Strongoli,,5100 ms,HTTP,No
91.92.10.112,8080,Bulgaria  Sofia,,4060 ms,HTTP,High
103.216.82.214,6666,India  Ahmedabad,,5100 ms,HTTP,High
103.93.53.144,8118,Indonesia,,880 ms,"HTTP, HTTPS",High
103.228.117.244,8080,Indonesia  Depok,,1720 ms,HTTP,No
103.241.227.106,6666,India  Vadodara,,5100 ms,HTTPS,High
35.200.179.207,8118,,,5100 ms,HTTP,High
157.245.199.227,8118,Singapore,,840 ms,HTTP,High
103.93.53.82,8118,Indonesia,,1880 ms,HTTP,High
151.80.135.147,3128,France  Roubaix,,4480 ms,HTTP,No
194.167.44.91,80,France  Vitry-sur-Seine,,4020 ms,HTTP,Low
51.158.71.75,3128,France  Paris,,780 ms,HTTP,No
195.62.70.252,8080,Russian Federation,,2860 ms,HTTP,High
45.76.43.163,8080,Netherlands  Amsterdam,,5100 ms,HTTP,High
186.148.186.14,999,Colombia  Bogotá,,2220 ms,HTTP,No
36.91.32.27,8080,Indonesia  Ungaran,,3720 ms,HTTP,No
212.42.113.240,37545,Kyrgyzstan,,2800 ms,HTTP,High
77.66.203.114,33097,Russian Federation  Krasnodar,,2260 ms,HTTP,High
83.221.176.32,8080,Uzbekistan,,2320 ms,HTTP,No
203.130.227.189,8080,Indonesia  Jakarta,,5100 ms,HTTP,No
190.3.117.18,8080,Argentina  Mar del Plata,,5100 ms,HTTP,No
85.237.46.168,54328,Russian Federation  Penza,,3500 ms,HTTP,High
187.17.19.90,57685,Brazil  Francisco Beltrão,,5100 ms,HTTP,High
201.217.4.101,53281,Paraguay  Asunción,,4460 ms,HTTP,High
197.95.153.4,8080,South Africa  Cape Town,,2840 ms,HTTP,High
103.239.254.70,61967,Bangladesh  Dhaka,,3640 ms,HTTP,High
181.143.157.242,50942,Colombia  Medellín,,3180 ms,HTTP,High
83.171.114.92,37266,Russian Federation  Kaliningrad,,1500 ms,HTTP,High
200.174.158.26,34112,Brazil,,2880 ms,HTTP,High
202.137.10.180,48187,Indonesia  Jakarta,,1400 ms,HTTP,High
195.69.221.198,54418,Ukraine  Zhytomyr,,700 ms,HTTP,High
186.10.65.3,999,Chile  Santiago,,1200 ms,HTTP,High
162.243.108.161,8080,United States  New York,,1200 ms,HTTP,High
138.68.24.145,8080,United States  Santa Clara,,1340 ms,HTTP,High
162.243.108.141,3128,United States  New York,,2440 ms,HTTP,High
67.205.174.209,3128,United States  New York,,2460 ms,HTTP,High
138.68.24.145,3128,United States  Santa Clara,,1340 ms,HTTP,High
45.55.27.15,8080,United States  San Francisco,,1420 ms,HTTP,High
45.55.27.161,3128,United States  San Francisco,,1560 ms,HTTP,High
162.243.108.129,3128,United States  New York,,1200 ms,HTTP,High
198.199.119.119,3128,United States  San Francisco,,1340 ms,HTTP,High
138.68.240.218,8080,United States  Santa Clara,,760 ms,HTTP,High
138.68.161.60,8080,United Kingdom  London,,640 ms,HTTP,High
67.205.149.230,8080,United States  North Bergen,,620 ms,HTTP,High
